target,database_names,status,file,display_name,organisation_identified,channel,source_url,reason
Abu Dhabi Early Childhood Authority (ECA),Abu Dhabi Early Childhood Authority (ECA),failed,,Abu Dhabi Early Childhood Authority,"Abu Dhabi Early Childhood Authority (ECA), UAE",,,"Not on Wikimedia, and eca.gov.ae only has a 113x70 px logo.webp plus a white version, with no SVG or larger file."
ADEK,Abu Dhabi Education Council (ADEC),done,adek.png,ADEK,"Abu Dhabi Department of Education and Knowledge (ADEK), successor to Abu Dhabi Education Council, UAE",official-site,https://www.adek.gov.ae/-/media/Project/TAMM/ADEK/Logo/adek-logo.svg,Sourced ADEK as the note says (successor). Bilingual lockup with the Abu Dhabi emblem.
"Abu Dhabi Education, Human Development and Community Development Council (EHCD)","Abu Dhabi Education, Human Development and Community Development Council (EHCD)",done,education-human-development-and-community-development-council.png,"Education, Human Development and Community Development Council","Education, Human Development and Community Development Council (UAE federal council set up by Federal Decree-Law, chaired by Sheikh Abdullah bin Zayed)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/e/eb/Emblem_of_the_United_Arab_Emirates.svg,"This is a federal council, not an Abu Dhabi body. It has no website or mark of its own, so this is the UAE coat of arms, which other federal bodies can reuse."
Abu Dhabi Executive Office,Abu Dhabi Executive Office,failed,,Abu Dhabi Executive Office,"Abu Dhabi Executive Office (ADEO), UAE",,,"ADEO has its own mark, but there is no Wikimedia file or Wikipedia page, and no public official website could be found (adeo.gov.ae and similar domains do not resolve)."
Abu Dhabi General Secretariat of the Executive Council,Abu Dhabi General Secretariat of the Executive Council,failed,,Abu Dhabi General Secretariat of the Executive Council,"General Secretariat of the Executive Council, Abu Dhabi (UAE); replaced by the Abu Dhabi Executive Office under Law 18 of 2019",,,"This is a closed body, so the spec asks for its last logo, but that logo is not on Wikimedia and its old domain ecouncil.ae now redirects to abudhabi.gov.ae."
Abu Dhabi Motorsport Management,Abu Dhabi Motorsport Management,failed,,Ethara,"Ethara (Abu Dhabi, UAE), which Abu Dhabi Motorsport Management became part of",,,"Ethara is not on Wikimedia, and ethara.com only publishes its logo in white (footer-logo.svg) plus a square E icon, with no dark or colour version; the old ADMM site no longer resolves."
Abu Dhabi Retirement Pensions and Benefits Fund,Abu Dhabi Retirement Pensions and Benefits Fund,done,abu-dhabi-pension-fund.png,Abu Dhabi Pension Fund,"Abu Dhabi Pension Fund, formerly Abu Dhabi Retirement Pensions and Benefits Fund (UAE)",official-site,https://www.pension.gov.ae/Documents/res/images/logo-center.svg,Not on Wikimedia. Current stacked bilingual lockup from pension.gov.ae.
Abu Dhabi Sports Council,Abu Dhabi Sports Council,failed,,Abu Dhabi Sports Council,"Abu Dhabi Sports Council (ADSC), UAE",,,"Not on Wikimedia (no en or ar infobox logo), and adsc.gov.ae resets or returns 503 to automated requests, including with a browser user agent, so its logo file could not be reached."
Abu Dhabi University,Abu Dhabi University,done,abu-dhabi-university.png,Abu Dhabi University,Abu Dhabi University (UAE),wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Abu_Dhabi_University_logo.svg/1280px-Abu_Dhabi_University_logo.svg.png,"The SVG original kept returning 429 (rate limit), so this uses Wikimedia's 1280px PNG render of the same file."
ActionAid,ActionAid,done,actionaid.png,ActionAid,ActionAid (international NGO; ActionAid UK),wikimedia,https://commons.wikimedia.org/wiki/Special:FilePath/Actionaid_logo.svg,
Adaa,Adaa,failed,,Adaa,"National Center for Performance Measurement (Adaa), Saudi Arabia",,,"The only Wikimedia file (Arabic Wikipedia) is 199x77 px, too small, and adaa.gov.sa returns Cloudflare 403 to both the bot and browser user agents."
Adam Smith International,Adam Smith International,failed,,Adam Smith International,"Adam Smith International Ltd, United Kingdom",,https://adamsmithinternational.com/,"Neither channel yielded a logo: Wikimedia has no logo file for this organisation, and every request to the official site, including the theme asset paths, returned a SiteGround captcha page."
Adamawa State Government,Adamawa State Government,done,adamawa-state-government.png,Adamawa State Government,"Adamawa State Government, Nigeria",official-site,https://adamawastate.gov.ng/wp-content/uploads/2020/07/New-ADSG-Logo.png,This is the official state government seal (1558px raster). The Wikipedia infobox has no logo.
Advising Families Across Generations (STEP),Advising Families Across Generations (STEP),failed,,STEP,"STEP (Society of Trust and Estate Practitioners), United Kingdom",,https://www.step.org/,"Neither channel yielded a logo: the Wikipedia infobox has no logo and Commons has no STEP logo, and step.org returns 403 to automated requests even with a browser user agent."
Aerospace Holding,Aerospace Holding,failed,,Aerospace Holding,,,,"Identity unclear. No UAE company trading as 'Aerospace Holding (Company)' could be confirmed. Candidates: Dubai Aerospace Enterprise (already in the library as dubai-aerospace-enterprise.png), Mubadala Aerospace, Abu Dhabi Aviation."
Afghanistan Civilian Technical Assistance Programme (CTAP),Afghanistan Civilian Technical Assistance Programme (CTAP),done,afghanistan-emblem.png,Afghanistan Civilian Technical Assistance Programme,"Civilian Technical Assistance Programme, Ministry of Finance, Islamic Republic of Afghanistan (pre-2021)",wikimedia,https://commons.wikimedia.org/wiki/File:Emblem_of_Afghanistan_(2004%E2%80%932021).svg,"Pre-2021 Afghan government programme, so it uses the 2004 to 2021 emblem of the Islamic Republic. Groups 25 to 30 share this one file, produced in this batch (1280px Wikimedia PNG render of the SVG, because the SVG original stayed rate-limited)."
Afghanistan Government Media and Information Center (GMIC),Afghanistan Government Media and Information Center (GMIC),done,afghanistan-government-media-and-information-center.png,Afghanistan Government Media and Information Center,"Government Media and Information Center (GMIC), Islamic Republic of Afghanistan (pre-2021)",wikimedia,https://commons.wikimedia.org/wiki/File:Emblem_of_Afghanistan_(2004%E2%80%932021).svg,"Pre-2021 Afghan government body, so it uses the 2004 to 2021 emblem of the Islamic Republic. Shares the file with groups 25 to 30."
Afghanistan Independent Election Commission (IEC),Afghanistan Independent Election Commission (IEC),done,afghanistan-independent-election-commission.png,Afghanistan Independent Election Commission,Independent Election Commission of Afghanistan (pre-2021; dissolved Dec 2021),wikimedia,https://commons.wikimedia.org/wiki/File:Emblem_of_Afghanistan_(2004%E2%80%932021).svg,"Treated as a pre-2021 Afghan government body, so it uses the 2004 to 2021 emblem, although the IEC had its own seal. The Wikipedia infobox has no IEC logo. Shares the file with groups 25 to 30."
Afghanistan Ministry of Finance,Afghanistan Ministry of Finance,done,afghanistan-ministry-of-finance.png,Afghanistan Ministry of Finance,"Ministry of Finance, Islamic Republic of Afghanistan (pre-2021)",wikimedia,https://commons.wikimedia.org/wiki/File:Emblem_of_Afghanistan_(2004%E2%80%932021).svg,"Pre-2021 Afghan ministry, so it uses the 2004 to 2021 emblem. Shares the file with groups 25 to 30."
"Afghanistan Ministry of Labor, Social Affairs, Martyrs and Disabled","Afghanistan Ministry of Labor, Social Affairs, Martyrs and Disabled",done,afghanistan-ministry-of-labor-social-affairs-martyrs-and-disabled.png,"Afghanistan Ministry of Labor, Social Affairs, Martyrs and Disabled","Ministry of Labor, Social Affairs, Martyrs and Disabled, Islamic Republic of Afghanistan (pre-2021)",wikimedia,https://commons.wikimedia.org/wiki/File:Emblem_of_Afghanistan_(2004%E2%80%932021).svg,"Pre-2021 Afghan ministry, so it uses the 2004 to 2021 emblem. Shares the file with groups 25 to 30."
Afghanistan National Assembly Upper House,Afghanistan National Assembly Upper House,done,afghanistan-meshrano-jirga.png,Afghanistan Meshrano Jirga,"Meshrano Jirga (House of Elders), National Assembly of the Islamic Republic of Afghanistan (dissolved 2021)",wikimedia,https://commons.wikimedia.org/wiki/File:Emblem_of_Afghanistan_(2004%E2%80%932021).svg,"Pre-2021 Afghan government body, so it uses the 2004 to 2021 emblem. Shares the file with groups 25 to 30."
African Field Epidemiology Network (AFENET),African Field Epidemiology Network (AFENET),done,afenet.png,AFENET,"African Field Epidemiology Network (AFENET), Kampala, Uganda",official-site,https://afenet.net/wp-content/uploads/2023/01/logo.jpg,"The site header uses a white version of this lockup. This is the blue-on-white colour version from the site's media library (JPEG, 1024px). Its type looks slightly condensed compared with the header version. Commons has no AFENET logo."
Aga Khan Development Network (AKDN),Aga Khan Development Network (AKDN),done,akdn.png,Aga Khan Development Network,"Aga Khan Development Network (AKDN), Geneva, Switzerland",wikimedia,https://en.wikipedia.org/wiki/File:Akdn-logo.png,"Stacked lockup (symbol, AKDN, full name), 2317px PNG from the Wikipedia infobox."
Air Astana,Air Astana,done,air-astana.png,Air Astana,"Air Astana JSC, Kazakhstan",wikimedia,https://en.wikipedia.org/wiki/File:Air_Astana_logo.svg,
Air Liquide,Air Liquide,done,air-liquide.png,Air Liquide,"Air Liquide S.A., France",wikimedia,"https://commons.wikimedia.org/wiki/File:Air_Liquide_-_logo_(France,_2017).svg",
Air Partner,Air Partner,failed,,Air Partner,"Air Partner plc, United Kingdom (acquired by Wheels Up in 2022; airpartner.com now redirects to wheelsup.co.uk)",,https://commons.wikimedia.org/wiki/File:APWU_interim_logo_horizontal_blue_296x76.png,"The last logo Air Partner used ('Air Partner, a Wheels Up company') is only 296px on Commons, which is below the 400px minimum. The 2022 Air Partner logo on Commons (500px) stayed blocked by Wikimedia 429 errors, and the official site now redirects to Wheels Up."
Airport International Group,Airport International Group,done,airport-international-group.png,Airport International Group,"Airport International Group (AIG), operator of Queen Alia International Airport, Jordan (a Groupe ADP company)",official-site,https://www.qaiairport.com/media/tkonhd1x/h-managed-by-aig-colorful-png-4.png,"aig.aero returns 403 (Akamai), so this is the bilingual AIG lockup from the AIG-operated airport website. I cropped off the 'Queen Alia International Airport Managed By:' caption; the logo is 436px wide, close to the minimum."
Ajman Public Transport Corporation,Ajman Public Transport Corporation,failed,,Ajman Transport Authority,"Ajman Public Transport Corporation, UAE; now Ajman Transport Authority (ta.gov.ae), taken to be its successor",,https://commons.wikimedia.org/wiki/File:Ajman_Transport_Authority.png,"The Commons logo is only 156x95px (too small), and the official site (ta.gov.ae / at.gov.ae) could not be reached through the proxy. The successor link is inferred and not confirmed."
Ajman Tourism Development Department,Ajman Tourism Development Department,done,ajman-department-of-tourism-culture-and-media.png,"Ajman Department of Tourism, Culture & Media","Ajman Tourism Development Department, now renamed the Department of Tourism, Culture & Media, Government of Ajman, UAE",official-site,https://visit-ajman.ae/media/kaynz5mo/new-dept-tourism-logo.png,"ATDD has been renamed and this is the department's current mark on its own ATDD page at visit-ajman.ae. It is a bilingual Government of Ajman lockup in black. If the library should keep the old ATDD name and mark, this needs replacing. Wide lockup, so the text is small in the tile."
Ajman University of Science and Technology,Ajman University of Science and Technology,done,ajman-university.png,Ajman University,"Ajman University (formerly Ajman University of Science and Technology), UAE",official-site,https://www.ajman.ac.ae/themes/au2021/images/logo.svg,Current bilingual Arabic/English SVG lockup. Wikipedia has no infobox logo.
Akkök Holding,Akkök Holding,failed,,Akkök Holding,"Akkök Holding A.Ş., Turkey",,https://commons.wikimedia.org/wiki/File:Akk%C3%B6k_Holding_logo.png,"The Commons logo is only 72x123px (too small), and akkok.com.tr fails TLS verification through the proxy (incomplete certificate chain), so its logo files could not be downloaded."
Al Ain Holding,Al Ain Holding,failed,,ALAIN,"Al Ain Holding, Abu Dhabi, UAE; its current brand is ALAIN (alainam.ae)",,https://www.alainam.ae/wp-content/uploads/2025/04/alain-logo.svg,"The only logo on the official site is an all-white SVG wordmark, and the helper refused it; the og:image is a white 'A' on black, not a clean logo. There is no Wikimedia logo. Identity is fairly confident: the site's Salesforce subdomain is alainholding. The batch lists the sector as manufacturing but this is a real-estate and asset-management group."
Al Fahim,Al Fahim,failed,,Al Fahim,"Al Fahim Group, Abu Dhabi, UAE",,https://alfahim.com/wp-content/uploads/2023/06/Logo.png,"The site's only logo is a 168x60 PNG with a white wordmark, there is no SVG or dark version, and Wikimedia has no logo file."
Al Fakher Tobacco Factory,Al Fakher Tobacco Factory,failed,,Al Fakher,"Al Fakher Tobacco Factory (Al Fakher), Ajman, UAE",,https://images.squarespace-cdn.com/content/v1/66b4885f1e86da03215efed0/d697e610-2cf8-40fe-86a0-7438326dcdeb/AlFakher_logo.png,"The official site only has a white logo and no dark or colour variant; the one Commons file (Al Fakher Corporate Logo 3.jpg) is a photo of a screen with white text on red, not a clean logo."
Al Hosn Gas,Al Hosn Gas,exists,adnoc.png,ADNOC,"Al Hosn Gas, renamed ADNOC Sour Gas under ADNOC's single group brand, Abu Dhabi, UAE",official-site,https://www.adnoc.ae/en/adnoc-sour-gas,"Al Hosn Gas is now ADNOC Sour Gas and uses the ADNOC brand; the ADNOC Sour Gas page shows only the ADNOC logo, which is already in the library as adnoc.png. Worth adding Al Hosn Gas as an alias."
Al Jalila Children's Speciality Hospital,Al Jalila Children's Speciality Hospital,failed,,Al Jalila Children's,"Al Jalila Children's Specialty Hospital (now Al Jalila Children's Hospital, Dubai Health), Dubai, UAE",,,"Wikipedia and Commons have no logo file, and neither aljalilachildrens.ae nor dubaihealth.ae could be reached (the connections failed)."
Al Jazeera,Al Jazeera,done,al-jazeera-media-network.png,Al Jazeera Media Network,"Al Jazeera Media Network, Doha, Qatar",wikimedia,https://upload.wikimedia.org/wikipedia/en/8/8f/Al_Jazeera_Media_Network_Logo.svg,Bilingual stacked network lockup (SVG) from the Wikipedia infobox. The Al Jazeera Children's Channel member already has its own library logo (jeemtv.png).
Al Marjan Island,Al Marjan Island,failed,,Marjan,"Marjan (formerly Al Marjan Island LLC), master developer of Al Marjan Island, Ras Al Khaimah, UAE",,https://marjan.ae/hubfs/Marjan_2025/Images/logo_marjan_light.svg,"The only SVG on marjan.ae is the white version, and the navy PNG is only 257px wide; Commons has only 'AL MARJAN Logo.jpg', which is under 400px and not confirmed as this organisation."
Al Tamimi & Company,Al Tamimi & Company,done,al-tamimi-and-company.png,Al Tamimi and Co.,"Al Tamimi & Company, Dubai, UAE",official-site,https://www.tamimi.com/wp-content/themes/tamimi-2020-new-design/assets/img/brands/al-tamimi.svg,Official bilingual Arabic and English wordmark (SVG) from the site header.
Al Tayer Group,Al Tayer Group,failed,,Al Tayer Group,"Al Tayer Group, Dubai, UAE",,https://www.altayer.com/themes/altayer/images/al-tayer-logo.jpg,"The site header logo is a 165x35 JPG and no SVG or larger file was found; the Wikipedia logo (Al_Tayer_Group_logo.png) is only 351x62, so both are under 400px."
Al Turki Group,Al Turki Group,done,aa-turki-group.png,A. A. Turki Group,"A. A. Turki Group (ATCO, Abdulrahman Ali Al-Turki Company for Contracting and Trading), Dammam, Saudi Arabia",official-site,https://static.wixstatic.com/media/66273f_8904942b9bfe45ebaeb8dc0d99e55c2f~mv2.png,"Identified as the Saudi contracting group commonly called Al Turki Group (ATCO), which matches the engineering and construction sector. It was the only strong candidate, but please confirm."
Al Watania for Industries,Al Watania for Industries,failed,,Al Watania for Industries,"Al Watania for Industries, Riyadh, Saudi Arabia",,,"wataniaind.com timed out on every attempt (including a browser user agent), and Commons has no logo file."
Al-Ahli Bank of Kuwait,Al-Ahli Bank of Kuwait,done,abk.png,ABK,"Al Ahli Bank of Kuwait (ABK), Kuwait",wikimedia,https://upload.wikimedia.org/wikipedia/commons/5/52/ABK_Logo.svg,Current bilingual ABK logo (SVG) from the Wikipedia infobox.
Ali & Sons,Ali & Sons,done,ali-and-sons.png,Ali and Sons,"Ali & Sons Holding LLC, Abu Dhabi, UAE",official-site,https://cdn.prod.website-files.com/63b6ad58a2acb515e1682af0/63b6ad58a2acb50e6c682b7d_ali-sons-logo-colour.svg,Colour stacked lockup (SVG) from the site header.
Ali Bin Ali Group,Ali Bin Ali Group,failed,,Ali Bin Ali,"Ali Bin Ali Holding (Ali Bin Ali Group), Doha, Qatar",,,"alibinali.com blocks automated requests with a SiteGround captcha (a browser user agent did not help), and Commons has no logo file."
Alkhabeer Capital,Alkhabeer Capital,done,alkhabeer-capital.png,Alkhabeer Capital,"Alkhabeer Capital, Jeddah, Saudi Arabia",official-site,https://s3.eu-central-2.wasabisys.com/akc2026/wp-media-folder-alkhabeer-capital/media/2018/10/AKC_New-Logo-1_1.jpg,Full-colour stacked logo that the site uses as its og:image. The site header uses a white horizontal version with an Arabic line; that version has no colour file online.
Alsayer Group,Alsayer Group,failed,,Alsayer Group,"Alsayer Group (Mohammed Naser Al-Sayer and Sons), Kuwait",,,"alsayergroup.com and alsayer.com could not be reached (timeouts, and alsayer.com is a parked holding page), and Commons has no logo file."
Altrad,Altrad,done,altrad.png,Altrad,"Altrad Group, Montpellier, France (operating in the UAE)",wikimedia,https://upload.wikimedia.org/wikipedia/fr/3/34/Logo_Groupe_Altrad.svg,"The logo SVG from French Wikipedia; it matches the logo in the altrad.com header, which is only a 120px JPG."
Amcor,Amcor,done,amcor.png,Amcor,"Amcor plc, Zurich, Switzerland",official-site,https://assets.ctfassets.net/f7tuyt85vtoa/7mnp9hCyq2QfSYtX3u3f9R/110d19b906bec745e225ed9b9a1dc807/Brand_Foundations-Master-25.07.23.pdf,"Full-colour vertical lockup, rendered at 400 dpi from page 9 (Primary logo) of the brand guidelines on Amcor's media kit page. The Wikipedia PNG was only 248px and the site header logo only 150px."
American Chamber of Commerce in Belgium,American Chamber of Commerce in Belgium,done,amcham-belgium.png,AmCham Belgium,"American Chamber of Commerce in Belgium (AmCham Belgium), Brussels, Belgium",official-site,https://www.amcham.be/web/image/website/1/logo,
American Chamber of Commerce to the EU,American Chamber of Commerce to the EU,done,amcham-eu.png,AmCham EU,"American Chamber of Commerce to the European Union (AmCham EU), Brussels, Belgium",official-site,https://www.amchameu.eu/Logo.svg,"Full lockup (SVG) from the site header, including the tagline."
American Hospital Dubai,American Hospital Dubai,failed,,American Hospital Dubai,"American Hospital Dubai, Dubai, UAE",,https://www.ahdubai.com/img/ahd/logo-new.webp,"ahdubai.com returns a Cloudflare block (403) for the page and the logo file, even with a browser user agent, and Wikipedia and Commons have no logo file."
Amfori,Amfori; Foreign Trade Association,done,amfori.png,amfori,"amfori (formerly Foreign Trade Association), Belgium",official-site,https://www.amfori.org/,"No logo on Commons. Used the inline header SVG from amfori.org, filled with the site's brand blue #0055a4 taken from its stylesheet. Includes the tagline 'Trade with purpose' as on the site."
Amnesty International,Amnesty International,done,amnesty-international.png,Amnesty International,"Amnesty International, United Kingdom (International Secretariat)",wikimedia,https://upload.wikimedia.org/wikipedia/en/e/ee/Amnesty_International_logo.svg,Official lockup: black wordmark and candle on a yellow panel.
Andritz,Andritz,done,andritz.png,Andritz,"ANDRITZ AG, Austria",wikimedia,https://upload.wikimedia.org/wikipedia/commons/8/8a/Andritz_Logo.svg,
Angolan Embassy,Angolan Embassy,done,angola-coat-of-arms.png,Embassy of Angola,Embassy of the Republic of Angola (Angolan government); used the emblem of Angola,wikimedia,https://upload.wikimedia.org/wikipedia/commons/f/ff/Emblem_of_Angola.svg,Embassy rule: used the sending country's national emblem.
Arab Petroleum Investments Corporation (APICORP),Arab Petroleum Investments Corporation (APICORP),failed,,The Arab Energy Fund,"Arab Petroleum Investments Corporation (APICORP), Saudi Arabia, renamed The Arab Energy Fund in 2023",,https://taef.com/wp-content/uploads/logo.svg,"No logo on Commons, and taef.com only offers a white logo or white-on-purple images (taef-696.png, taef-1200.jpg), with no dark or colour version. apicorp.org and apicorp.com were unreachable."
Arabian Drilling Company,Arabian Drilling Company,done,arabian-drilling.png,Arabian Drilling,"Arabian Drilling Company, Saudi Arabia (arabdrill.com)",official-site,https://www.arabdrill.com/assets/images/ADC-logo-color.svg,No logo on Commons. This is the new brand shown on the site; arabiandrilling.com was unreachable.
arena,Arena Italia SPA,done,arena.png,arena,"Arena Italia S.p.A. (arena swimwear), Italy",official-site,https://www.arenasport.com/static/version1789980018/frontend/Hyva/arena/en_US/images/arena-logo.svg,"The Commons SVG rendered blurry, so used the site's header SVG, which is the same mark."
Argaam,Argaam,failed,,Argaam,"Argaam Investment Company, Saudi Arabia (argaam.com)",,,"Commons Argaam.png is 172x56 and the site header logos are 122 to 132px, all too small. The og:image is a white wordmark on an orange banner, not a clean logo, and the only site SVG is the separate 'Argaam Tools' mark."
Association of University Directors of Estates (AUDE),Association of University Directors of Estates (AUDE),failed,,AUDE,"Association of University Directors of Estates (AUDE), United Kingdom",,https://www.aude.ac.uk/images/logo-new.jpg,"No Commons file. The only logo on aude.ac.uk is a 300x150 JPG, below the 400px minimum, and no SVG, larger file or press page was found."
Atlantis the Palm,Atlantis the Palm,done,atlantis-the-palm.png,Atlantis The Palm,"Atlantis The Palm, Dubai (Kerzner International resort, Dubai Holding), UAE",official-site,https://kerzner.a.bigcontent.io/v1/static/atlantis-atd-desktop-logo,Current header logo on atlantis.com/dubai is the 'ATLANTIS DUBAI' wordmark in blue (SVG). Wikipedia could not be checked because of repeated 429 rate limits.
Atradius,Atradius,done,atradius.png,Atradius,"Atradius N.V. (trade credit insurer), Netherlands",official-site,https://group.atradius.com/dam/jcr:d14b35d9-91f9-4512-83e3-c761daa2461b/logoAtradius_tagline_red.svg,"The Commons SVG is the older grey-text version and the 2024 Commons PNG is too small (317px). Used the current red lockup from the site, which includes the tagline."
Australian Government,Australian High Commission UK,done,australia-coat-of-arms.png,Australian High Commission,"Australian High Commission, London (Australian Government); used the Commonwealth Coat of Arms",wikimedia,https://upload.wikimedia.org/wikipedia/commons/c/c5/Coat_of_arms_of_the_Commonwealth_of_Australia.svg,Embassy rule: used the sending country's coat of arms.
Avaya,Avaya,done,avaya.png,Avaya,"Avaya LLC, United States (UAE office)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/8/8b/Avaya_Logo.svg,Matches the red logo on avaya.com today.
Nar (not Azercell),Azerfon,done,nar.png,Nar,"Nar (formerly Azerfon), mobile operator, Azerbaijan",official-site,https://www.nar.az/media/uploads/images/nar_logo.png,"The Commons logo is 294px, too small. Used the red 'nar' wordmark PNG from nar.az (894x831). The site header also shows a speech-bubble version whose colours are set by CSS variables that could not be resolved."
B. Braun,B. Braun,done,b-braun.png,B. Braun,"B. Braun SE, Germany",wikimedia,https://upload.wikimedia.org/wikipedia/commons/d/d5/Bbraun.svg,
B.C. Office of the Human Rights Commissioner,B.C. Office of the Human Rights Commissioner,done,bc-human-rights-commissioner.png,BC Office of the Human Rights Commissioner,"British Columbia's Office of the Human Rights Commissioner, Canada",official-site,https://bchumanrights.ca/wp-content/uploads/2024/02/bcohrc-logo-standard.svg,No logo on Commons. Used the office's own colour logo.
Heathrow (current mark),BAA Heathrow,done,heathrow.png,Heathrow,"Heathrow Airport Limited, United Kingdom (formerly BAA Heathrow)",official-site,https://www.heathrow.com/content/dam/heathrow/web/common/images/no-aspect-ratio/logo/heathrow-brand-logo/purple-logo/purple-heathrow-logo.png,"The Commons file is the 2013 version with the tagline 'Making every journey better'. Used the current purple wordmark from heathrow.com (551px raster, tile 617px)."
Sharjah BEEAH,BEEAH,failed,,BEEAH,"BEEAH Group, Sharjah, UAE (beeahgroup.com)",,https://www.beeahgroup.com/,"No logo on Commons. Every logo on beeahgroup.com (header SVGs, Asset-1.svg) has white 'BEEAH' text meant for dark backgrounds, and no dark or colour version was found."
BIPA,BIPA,done,bahrain-ipa.png,Bahrain Institute of Public Administration,"Institute of Public Administration (BIPA), Kingdom of Bahrain (ipa.gov.bh)",official-site,https://www.ipa.gov.bh/wp-content/uploads/2018/11/newlogo_02.png,No logo on Commons. Used the institute's own bilingual logo with the Bahrain emblem. The site now names it 'Institute of Public Administration'.
BOC,BOC,failed,,BOC,"BOC Limited (a Linde company), United Kingdom",,https://upload.wikimedia.org/wikipedia/commons/c/c4/Logo_The_BOC_Group.svg,"Commons only has the old red BOC Group logo from before Linde, not today's mark. The UK site (bocgases.co.uk) builds its logo with JavaScript so it could not be found in the page, and boc.com.au was unreachable."
BSA Ahmad Bin Hezeem & Associates,BSA Ahmad Bin Hezeem & Associates,done,bsa-law.png,BSA Law,"BSA Law (formerly BSA Ahmad Bin Hezeem and Associates), UAE",official-site,https://bsalaw.com/wp-content/uploads/2023/09/Frame-4393.svg,"The firm renamed itself BSA Law and bsabh.com redirects to bsalaw.com, so this is its current logo. No logo on Commons."
Badak NGL,Badak NGL,done,badak-lng.png,Badak LNG,"PT Badak Natural Gas Liquefaction (Badak LNG), Bontang, Indonesia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Badak_NGL_new_logo_%28since_2018%29.svg/1280px-Badak_NGL_new_logo_%28since_2018%29.svg.png,Stacked lockup (since 2018). Built from Wikimedia's PNG render because the SVG original stayed rate-limited (429).
Bahrain Chamber of Commerce and Industry,Bahrain Chamber of Commerce and Industry,done,bahrain-chamber.png,Bahrain Chamber,"Bahrain Chamber of Commerce and Industry, Bahrain",official-site,https://www.bahrainchamber.bh/assets/images/bcci-Logo.svg,Bilingual Arabic/English logo as used in the site header. Wikipedia page has no logo.
