logo,database_names,reason
Al Ain Holding,Al Ain Holding,"The only logo on the official site is an all-white SVG wordmark, and the helper refused it; the og:image is a white 'A' on black, not a clean logo. There is no Wikimedia logo. Identity is fairly confident: the site's Salesforce subdomain is alainholding. The batch lists the sector as manufacturing but this is a real-estate and asset-management group."
Al Fahim,Al Fahim,"The site's only logo is a 168x60 PNG with a white wordmark, there is no SVG or dark version, and Wikimedia has no logo file."
Al Fakher Tobacco Factory,Al Fakher Tobacco Factory,"The official site only has a white logo and no dark or colour variant; the one Commons file (Al Fakher Corporate Logo 3.jpg) is a photo of a screen with white text on red, not a clean logo."
Al Jalila Children's Speciality Hospital,Al Jalila Children's Speciality Hospital,"Wikipedia and Commons have no logo file, and neither aljalilachildrens.ae nor dubaihealth.ae could be reached (the connections failed)."
Al Marjan Island,Al Marjan Island,"The only SVG on marjan.ae is the white version, and the navy PNG is only 257px wide; Commons has only 'AL MARJAN Logo.jpg', which is under 400px and not confirmed as this organisation."
Al Tayer Group,Al Tayer Group,"The site header logo is a 165x35 JPG and no SVG or larger file was found; the Wikipedia logo (Al_Tayer_Group_logo.png) is only 351x62, so both are under 400px."
Al Watania for Industries,Al Watania for Industries,"wataniaind.com timed out on every attempt (including a browser user agent), and Commons has no logo file."
Ali Bin Ali Group,Ali Bin Ali Group,"alibinali.com blocks automated requests with a SiteGround captcha (a browser user agent did not help), and Commons has no logo file."
Alsayer Group,Alsayer Group,"alsayergroup.com and alsayer.com could not be reached (timeouts, and alsayer.com is a parked holding page), and Commons has no logo file."
American Hospital Dubai,American Hospital Dubai,"ahdubai.com returns a Cloudflare block (403) for the page and the logo file, even with a browser user agent, and Wikipedia and Commons have no logo file."
APSR,Oman Authority for Electricity Regulation,"Neither Wikipedia nor Commons has an APSR logo. apsr.om is a JavaScript app that loads its logo from a third-party platform API; no logo file is in the page or its bundle, and the only site icon is 256px."
Arab Petroleum Investments Corporation (APICORP),Arab Petroleum Investments Corporation (APICORP),"No logo on Commons, and taef.com only offers a white logo or white-on-purple images (taef-696.png, taef-1200.jpg), with no dark or colour version. apicorp.org and apicorp.com were unreachable."
Argaam,Argaam,"Commons Argaam.png is 172x56 and the site header logos are 122 to 132px, all too small. The og:image is a white wordmark on an orange banner, not a clean logo, and the only site SVG is the separate 'Argaam Tools' mark."
Association of University Directors of Estates (AUDE),Association of University Directors of Estates (AUDE),"No Commons file. The only logo on aude.ac.uk is a 300x150 JPG, below the 400px minimum, and no SVG, larger file or press page was found."
Asthma + Lung UK,British Lung Foundation,"The Wikipedia logo is a 320x304 PNG. On the official site the stacked logo is 320x304 and the horizontal logo 772x304 (321px after trim), with no SVG; all are below the 400px minimum."
Bahrain Economic Development Board (EDB),Bahrain Economic Development Board (EDB); EDB Bahrain,"The Wikipedia article has no logo and Commons searches were rate-limited or found nothing; bahrainedb.com only returns an AWS WAF human-verification page to automated requests, even with a browser user agent."
Bahrain GHQ Defense Force,Bahrain GHQ Defense Force,"Commons has only BDF flags and no BDF emblem. The official site bdf.bh has the emblem-with-name only as a 392x360 raster (347px after trim), below the 400px minimum."
Bahrain National Holding,Bahrain National Holding,"No Wikipedia article or Commons logo. The only logo on bnh.bh is a 175x70 PNG (too small), no SVG was found, and bnhgroup.com is unreachable."
BOC,BOC,"Commons only has the old red BOC Group logo from before Linde, not today's mark. The UK site (bocgases.co.uk) builds its logo with JavaScript so it could not be found in the page, and boc.com.au was unreachable."
Bost (Ghana),Bost (Ghana),"The Wikipedia article (BOST Energies) has no logo. The official site bost.com.gh does not resolve (DNS failure, proxy 502), so its corporate-identity page could not be reached."
Botswana Public Officers Pension Fund,Botswana Public Officers Pension Fund,"No Wikipedia article. The only logo on bpopf.co.bw is a 256x215 favicon (symbol only, too small); no header logo file, SVG or press kit was found."
British College of Osteopathic Medicine,British College of Osteopathic Medicine,"On Wikipedia/Commons the only image is a photo of the building, not a logo. bcom.ac.uk has only white logos (bcom-logo-white.png and a white BCNO group strip), and no dark or colour variant could be found."
Bureau International des Expositions (BIE),Bureau International des Expositions (BIE),"The site uses a symbol-plus-name lockup, but only as a 183px PNG, and Commons has only the bare globe symbol (built, then deleted)."
Capital Club,Capital Club,"The site only has a white logo; the dark version appears only inside a photo collage in the og:image, and Commons has no file."
Capital Markets Authority Kenya,Capital Markets Authority Kenya,"Both sources are below 400px: the Wikimedia file (234x215) and the site logos (392x101 and 151x138), with no SVG."
Central Arriyadh Development Company (CADC),Central Arriyadh Development Company (CADC); Riyadh Central Ar Development Company (CADC),"Identity unclear: no official site or logo could be found. Candidates are a PIF-backed firm listed at Al-Nakheel, Riyadh, the listed Arriyadh Development Co (ARDCO) and Riyadh Development Company (riyadh.dev)."
Central Bank of Kenya,Central Bank of Kenya,"Both sources are below 400px: the Wikipedia logo (354x281) and the site logo (208x171), with no SVG."
Central Bank of Oman,Central Bank of Oman,"The Wikimedia logo is only 182x183, and cbo.gov.om could not be reached from here."
Centrient,DSM Sinochem Pharmaceuticals (DSP),"The official site logo is a 168x100 PNG, too small with no SVG or press-kit version, and there is no Wikipedia page or Commons logo."
Chalhoub Group,Chalhoub Group; MCT FZE Chaloub Group,"The navy tughra header logo is only 323x298, the bilingual wordmark on the site is white-only, and Commons has no file."
Concorde El Salam Hotels,Concorde El Salam Hotels,"There is no Wikipedia page and no official group website. The hotels now trade as Royal Tulip-branded properties, and their official Golden Tulip site returned 403, so no official group logo could be sourced."
Daleel Petroleum,Daleel Petroleum,"The official colour logo is only 130x31 with no SVG or larger version on the site, and there is no Wikipedia page or Commons logo."
Damas,Damas,"The site logo is a 340x81 PNG, too small, the logo.svg in its schema data returns 404, and there is no Wikipedia or Commons logo."
Dana Gas,Dana Gas,"danagas.com is behind an Incapsula bot challenge, and the Dana Gas Wikipedia article has no logo file."
Debra,Debra,"The official logo is a 353x120 PNG with no SVG or larger version on the site or its brand news page, and there is no Wikipedia or Commons logo."
Decision Support Centre (DSC),Decision Support Centre (DSC); DSC Decision Support Center,"dsc.gov.sa cannot be reached from here (connection closed), and there is no Wikipedia page or Commons logo. Group has its own mark, so the coat-of-arms fallback was not applied."
Delta Partners,Delta Partners,"The firm was absorbed into FTI Consulting and its domain now redirects to fticonsulting.com, so its last logo is not on any official site, and there is no Wikipedia or Commons logo."
Diamond Light Source,Diamond Light Source,"Both logo files are too small: the Wikipedia DiamondLogo.png trims to 300x85, and the site's only logo, Diamondlogoupdate2019R.png, is 168x53. Cloudflare blocks the site and its press page offers no logo download."
DMG Events,DMG Events,"The only logo on the official site is white text with green dots, and no dark or colour variant was found there or on Wikimedia."
Dolphin Energy,Dolphin Energy,"Wikipedia has no logo, and the site's logo PNGs are too small: the largest colour one is 339x216 and the black one is 112x61. No SVG or press kit was found."
Dubai Air Navigation Services (DANS),Dubai Air Navigation Services (DANS),"There is no Wikipedia page, and dans.gov.ae resets every connection, both by curl and by fetch, so there was no route to the official logo."
Dubai Community Development Authority,Dubai Community Development Authority,"There is no Wikipedia page. The site's own CDA logo is only a 292x58 PNG, and its SVG header logo is the white-only Government of Dubai mark."
Dubai Department of Economy and Tourism,Dubai Department of Economic Development (DED); Dubai Department of Tourism and Commerce Marketing,There is no Wikipedia page for Dubai's DET. Akamai returns 403 for dubaidet.gov.ae and its logo SVG (dubai-det-flag-logo.svg) to every user agent tried.
Dubai Executive Council,Dubai Executive Council,"No Wikipedia page or logo was found. tec.gov.ae refuses curl connections, and a fetch of the page showed no logo image URLs."
Dubai Financial Services Authority (DFSA),Dubai Financial Services Authority (DFSA),"The Wikipedia page has no infobox logo. The site's only logo files, logo.png and logo-2.png, are 160x100, and no SVG or press kit was found."
Dubai Holding,Dubai Holding,"The colour logo exists only as a small raster: the Wikipedia PNG trims to 335x229, and the media-kit PDF just embeds the same 520x366 raster. The site header SVG is white-only."
Dubai Petroleum Establishment,Dubai Petroleum Establishment,"There is no logo on Wikimedia or Wikipedia, and the website's only logo files are small rasters (308x75 and 274x75), under the 400px minimum."
Dubai Silicon Oasis,DSOA; Dubai Silicon Oasis Authority,"Every logo on dso.ae (the bilingual SVG, the small version and the theme logo) is white only, and the Wikipedia article and Commons have no logo."
Dubai SME,Dubai SME,"There is no logo on Wikimedia or Wikipedia, and sme.ae returns 403 even with a browser user agent."
DUCAB,DUCAB,"ducab.com blocks automated requests with a Cloudflare challenge even with a browser user agent, and there is no Wikipedia page or Commons logo."
Electricity Company of Ghana,Electricity Company of Ghana,"There is no logo on Wikimedia (the Wikipedia article redirects to PDS Ghana and has no image). The official logo's name is white-only and its colour emblem is only 205px, under the 400px minimum."
EMPOWER,EMPOWER,"There is no logo on Wikimedia or Wikipedia (the English 'Empower' article is about a different company), and empower.ae sits behind a Sucuri JavaScript challenge that blocks automated requests even with a browser user agent."
ERCA,ERCA,"Identity unclear: no Saudi body is called ERCA. The most likely candidate is ECRA (Electricity and Cogeneration Regulatory Authority, now SERA/WERA), but it could also be a garbled acronym for another Saudi authority."
Ethara,Ethara,"There is no Wikipedia page or Commons logo, and the official site only has a white wordmark SVG plus a 360px 'E' icon, with no dark or colour lockup."
Eurofighter,Eurofighter,"Wikipedia only has the consortium roundel, not the company logo, and eurofighter.com blocks automated requests behind a Cloudflare challenge, even with a browser user agent."
European Centre for Development Policy Management,European Centre for Development Policy Management,"The Wikimedia logo is only 240x240px, which is too small, and ecdpm.org blocks automated requests behind a Cloudflare challenge, even with a browser user agent."
European Petrochemical Association (EPCA),European Petrochemical Association (EPCA),"There is no Wikipedia page, and the site's SVG logo is white only, with the blue colour version available only as a 200x60px PNG, which is too small."
European Regions Research and Innovation Network (ERRIN),European Regions Research and Innovation Network (ERRIN),"There is no Wikipedia page or Commons logo (the Commons search was also rate-limited), and errin.eu blocks automated requests behind a Cloudflare challenge, even with a browser user agent."
F&E Aerospace,F&E Aerospace,"No usable source: feaerospace.com now redirects to GE Aerospace, the Tarsus site did not return a logo, and Wikimedia has no file. The note says 'aircraft interiors firm' but the events sector points to the event organiser, and no current F&E logo could be confirmed."
Falcon and Associates,Falcon and Associates,"The official site fails TLS certificate verification through the proxy and WebFetch, so it could not be reached, and Wikimedia has no logo file."
Famfa Oil,Famfa Oil,"The official lockup is only 382x100 px (below 400), and the full-name version is white text. The only large file is the 512px bare drop symbol, and Wikimedia has nothing."
"Farouk, Maamoun Mohammed Said Tamer Industries Holding","Farouk, Maamoun Mohammed Said Tamer Industries Holding","The site's header and footer SVG lockups have the wordmark in white, and only the green symbol is in colour, so there is no colour lockup (I deleted the symbol-only tile). Wikimedia has no file."
Federal University of Technology Akure,Federal University of Technology Akure,"The official site returns 403 to both user agents and to WebFetch. The Wikipedia page image is a campus photo, and I found no logo on Commons."
First Bank of Nigeria,First Bank of Nigeria,"The official site fails TLS certificate verification through the proxy and WebFetch. The Wikipedia page image is an HQ photo, and I found no logo on Commons."
GARMCO,GARMCO,"The largest logo on the official site is 224x300 px (the others are under 100 px and one is white), and Wikimedia has no logo."
Ghana Chamber of Mines,Ghana Chamber of Mines,"The Wikipedia logo (Ghana_Chamber_of_Mines_logo.gif) is only 202x110px, and the official site ghanachamberofmines.org serves a captcha to automated requests, including with a browser user agent."
Ghana Energy Commission,Ghana Energy Commission,"No logo on Wikipedia or Commons. The header logo on energycom.gov.gh is only 303x75px, and no SVG or larger file was found there."
Ghana Public Utilities Regulatory Commission,Ghana Public Utilities Regulatory Commission,"No logo on Wikipedia or Commons. The best file on purc.com.gh is 389x351px after trimming, below the 400px minimum, and the header logo is only 122px."
Global Geophysical Services,Global Geophysical Services,"The Wikipedia page has no logo image. The largest logo on globalgeophysical.com is a 360x360 JPG, below the 400px minimum."
Group Five,Group Five,"The Wikipedia page has no logo, Commons has none, and the company website groupfive.co.za no longer responds."
GRS,GRS,"Identity unclear: 'GRS' in the UK could be several firms (for example GRS Group, GRS Roadstone, Global Resources Services or Geo Risk Services), and nothing in the record says which one."
Gulf Medical Company,Gulf Medical Company,"Not on Wikipedia or Commons. The bilingual header logo from the site's CMS is 388x105px, below the 400px minimum, and no larger file or SVG was found."
GulfDrug,GulfDrug,"Not on Wikipedia or Commons. The site header logo is 169x94px and the footer version 275x152px, both below the 400px minimum. The og:image is a '50 years' anniversary graphic, not the logo."
Idama Facilities Management Solutions,Idama Facilities Management Solutions,"Idama no longer shows its own logo. idama.ae now redirects to parent Ejadah's site, which carries only the Ejadah logo, and Wikimedia has no Idama logo. If Will wants the parent mark, Ejadah's logo is available."
IMO,IMO,"Identity unclear. The candidates are Industrial Materials Organization (imo.com.sa, a Saudi tools distributor), the International Maritime Organization (UN body, not Saudi) and other Saudi bodies abbreviated IMO. None clearly matches the professional services and associations sector."
Injazat,Injazat,"Injazat has no Wikipedia page and no Commons file, and injazat.com now redirects to core42.ai, which no longer shows Injazat's last logo."
INTAN,Institut Perkhidmatan Awam,"Both sources are too small: the Wikipedia logo is 161x243 and the site header logo (intanbk.intan.my) is 340x55, and neither has a larger or SVG version."
International Development Law Organization,International Development Law Organization,The Wikipedia logo is a 316px white-on-blue square and the site header logo (idlo.int) is 227x100. Both are too small and there is no SVG or press-kit version.
INTERREG IVC,INTERREG IVC,"The last INTERREG IVC logo is not on Wikimedia Commons, and interreg4c.eu now redirects to Interreg Europe, so neither channel yields the IVC mark."
Invest AD,Invest AD,"There is no Wikipedia page or Commons file, and investad.com reset or timed out on every attempt, including with a browser user agent."
Ireland Department of Justice,Ireland Department of Justice,"The department has its own mark, so I did not fall back to the national coat of arms. Both copies are too small: the Commons file is 254x100 and gov.ie serves only a 100px-high version, with larger versions refused (403)."
Jeddah Airport Company (JEDCO),Jeddah Airport Company (JEDCO),"Wikimedia has only the airport's logo, not the operating company's. kaia.sa blocks automated requests (Cloudflare 403), and jedco.sa belongs to a different company (Jeddah Development and Urban Regeneration Company). If the airport's logo is acceptable instead, it is at https://upload.wikimedia.org/wikipedia/en/b/be/King_Abdulaziz_International_Airport_Logo.svg."
Jordan River Foundation,Jordan River Foundation,"Wikipedia has only a 280x123 non-free logo and the website header logo is 192x155, both under 400px."
Justice Institute of British Columbia,Justice Institute of British Columbia,"The only official logo is a reversed SVG whose wordmark is white (only the shield renders on white), no dark variant was found on the site, and Wikimedia has no logo file."
Karachaganak Petroleum Operating (KPO),Karachaganak Petroleum Operating (KPO),"The website header logo is only 75x57 and no larger version was found, and Wikimedia has no KPO logo."
Kenya Airports Authority,Kenya Airports Authority,"The Wikipedia logo is 334x298 (under 400px), and kaa.go.ke blocks automated access with a Cloudflare 403, even with a browser user agent."
Kenya Insurance Regulatory Authority,Kenya Insurance Regulatory Authority,"The Wikipedia logo is 82x91, and ira.go.ke returns a reCAPTCHA bot-verification page."
Kenya Office of the Director of Public Prosecutions,Kenya Office of the Director of Public Prosecutions,"The site's logo is only 320x160 and its media library has no larger version, and there is no Wikipedia or Commons file."
Kenya Power and Lighting Company,Kenya Power and Lighting Company,"The Wikipedia logo is 335x297 and the website logo is 138x120, both under 400px."
Kenya Roads Board,Kenya Roads Board,"krb.go.ke resets the connection (unreachable), and there is no Wikipedia page or Commons logo."
Kenya Vision 2030 Delivery Secretariat,Kenya Vision 2030 Delivery Secretariat,"The website logo is 382x125 (under 400px) and no larger version was found, and there is no Commons logo."
KIMEP University,KIMEP University,"The site logo is white-only (the helper refused it), no colour variant was found in the page, its stylesheets or other sections, and Wikimedia has no KIMEP logo file."
King Abdullah Port,King Abdullah Port,"All website logo files are 300px wide or less (KAP-logo.png is actually served at 188x150), and Commons has only photos of the port."
King Fahad Specialist Hospital,King Fahad Specialist Hospital,"Identity unclear: there are several King Fahad Specialist Hospitals in Saudi Arabia (Dammam, Buraidah, Tabuk) and the record gives no city. It is also distinct from King Faisal Specialist Hospital."
King Faisal Medical City,King Faisal Medical City,"Neither channel had a logo: no Wikipedia article or Commons file, and no reachable official website. The name may also be a mix-up with King Fahad Medical City (kfmc.med.sa) or KFSHRC, which is already in the library."
King Khalid Foundation,King Khalid Foundation,"No logo on English or Arabic Wikipedia or Commons, and the official site has only a 220px PNG with no SVG or larger version."
KOSTT,KOSTT,"The Wikimedia logo file is cropped at the right and top edges (the swoosh is cut off), and kostt.com could not be reached (TLS error or 403)."
Kraft,Kraft,"Identity unclear: 'Kraft' could be Kraft Heinz Company (USA) or Mondelez International (the former Kraft Foods snacks business, USA), and the note leaves it open."
Kuwait Anti-Corruption Authority,Kuwait Anti-Corruption Authority,"No logo on Wikipedia or Commons, and nazaha.gov.kw could not be reached (connection failed, 503 over http)."
Kuwait Capital Market Authority,Kuwait Capital Market Authority,"The helper rejected the site header logo as white-only. The site has no dark or colour variant, only a faint watermark and small icons, and Wikipedia and Commons have no logo."
Kuwait Energy Company,Kuwait Energy Company,"No logo on Wikipedia or Commons, and the official site has only a 200px header PNG with no larger or SVG version."
Kuwait Foundation for the Advancement of Sciences (KFAS),Kuwait Foundation for the Advancement of Sciences (KFAS),"The English and Arabic Wikipedia articles have no logo. The official site has a white logo and a 214px orange version, with no SVG or larger file."
Kuwait International Bank,Kuwait International Bank,"The Wikipedia logo is only 383x185px, below the 400px minimum, and the official site kib.com.kw was blocked by the network proxy."
Kuwait National Fund for Small and Medium Enterprise Development,Kuwait National Fund for Small and Medium Enterprise Development,"No logo on Wikipedia or Commons. The official site sits behind a Sucuri JavaScript bot challenge, which I did not get around."
Landmark Group,Landmark Group,"The Wikipedia logo is only 253x78px, and the official site returned 403 to both the library and browser user agents."
LAPFUND,LAPFUND,"No Wikipedia or Commons logo, and lapfund.or.ke could not be reached (the proxy refused the connection)."
Legatum,Legatum,"The Wikipedia logo is only 316px, and legatum.com is behind a Vercel security checkpoint that answers 429."
Liberia Medicines and Health Product Regulatory Authority,Liberia Medicines and Health Product Regulatory Authority,"No Wikipedia or Commons logo, and the official site has only a 303x120px header logo with no larger version."
Lifera,Lifera,"No Wikipedia or Commons logo exists, and the official site (lifera.com, formerly lifera.com.sa) sits behind a SiteGround captcha that blocks automated downloads."
Mabanee Company K.P.S.C,Mabanee Company K.P.S.C,"There is no Wikipedia logo in English or Arabic. The only official logo is a 232px PNG, found on the homepage, about page and media page. That is below the 400px minimum, and I found no SVG."
Maitland Central Services,Maitland Central Services,"Identity unclear. The likely candidate is Maitland Group, but its site does not list an Isle of Man office, so it is unclear which brand the Isle of Man entity uses today. maitlandgroup.com also fails TLS/connection, and there is no Wikipedia logo."
Majis Industrial Services,Majis Industrial Services,"There is no Wikipedia page. majis.om only has the bilingual logo as a 150x120 PNG and a 3D-rendered version, and neither meets the spec."
Maldives Pension Administration Office,Maldives Pension Administration Office,"There is no Wikipedia page. The site header logo (inline SVG) and the og:image exist only in white, and I found no dark or colour variant."
MB Holding Company,MB Holding Company,"The Wikipedia page has only a portrait photo. Every request to mbholdingco.com, including the logo files in wp-content/uploads/2023/12, is served a SiteGround captcha."
MCI,MCI,"The official site has only a white inline SVG logo, with no dark or colour variant. The only Commons file, File:MCI_Group.png, is a different company's grey MCI mark."
MediaQuest,MediaQuest,"Identity unclear. The candidates are Mediaquest Corporation (Dubai publisher, on Wikipedia) and Media Quest Group / MQuest (Dubai digital media company). Also, the Wikipedia logo is only 378px, mediaquest.ae is an under-construction page, and mediaquestcorp.com returns 403."
Mercator,Mercator,"Identity unclear: several UAE firms trade as Mercator, including Mercator Solutions FZE (Accelya Group, airline software), Mercator General Trading (mercator-gt.com), Mercator Shipping and Logistics (mercator-ship.com) and a Dubai investment firm called Mercator."
Metro Jeddah,Metro Jeddah,"Wikimedia has no logo for Metro Jeddah Company or Jeddah Metro, and none of the likely official domains (metrojeddah.com.sa, metrojeddah.com, mjc.com.sa) could be reached."
Mohamed Yousuf Naghi & Brothers Group,Mohamed Yousuf Naghi & Brothers Group,"Wikimedia has no logo. The only logo on the official site (mynaghi.com/images/logo.png) is 353x142px, below the 400px minimum. naghi.com now redirects to an unrelated page."
National Association of Head Teachers,National Association of Head Teachers,"The only Wikipedia logo is a 220px raster, which is too small, and naht.org.uk could not be reached because its TLS certificate chain failed to verify."
National Bank of Oman,National Bank of Oman,"The Commons file NBO New Logo.gif is only 172x65, the site header Logo.png is only 204x78, and the site has no SVG or larger logo file."
National Cash Transfer Office,National Cash Transfer Office,"Wikimedia has no logo, and the only usable site file (ncto.gov.ng/logo.jpg) sits on a grey box, so the tile showed a grey rectangle and was deleted."
National Library of NIG,National Library of NIG,"The Wikipedia page has only a staff photo, and the site logo (nln.gov.ng/assets/img/nln_logo.png) is only 175px."
National Transformation Program Center,National Transformation Program Center,"The programme has its own mark, but no Wikipedia or Commons logo was found, and vision2030.gov.sa returned 403 to automated requests, including with a browser user agent."
NCAS,NCAS,"Identity unclear: NCAS could be the National Clinical Assessment Service (NHS, now Practitioner Performance Advice) or the National Centre for Atmospheric Science, among others."
NHIA,National Health Insurance Scheme,"Wikimedia has no logo, and the largest logo on nhia.gov.ng (NHIA-logo.jpg, 400x400) trims to 355px, below the 400px minimum. Use the name nhia-nigeria if retried, because national-health-insurance-authority is the Ghana body."
Niger Delta Development Commission (NDDC),Niger Delta Development Commission (NDDC),"The Wikipedia logo is only 76px, and nddc.gov.ng returns 403 for its page and logo files (NDDCNewLogo.jpg, nddclogo.png)."
Nigeria Economic and Financial Crimes Commission (EFCC),Nigeria Economic and Financial Crimes Commission (EFCC),"The Wikipedia EFCC_LOGO.jpg is only 354px, and the site logo (EFCC-Logo.png) is only 100px. The only larger site image is a promotional graphic, not a clean logo."
Nigeria Federal Inland Revenue Service (FIRS),Nigeria Federal Inland Revenue Service (FIRS),"FIRS has been replaced by the Nigeria Revenue Service (NRS), so the spec calls for the last FIRS logo: the FIRS Wikipedia page now redirects to NRS with no logo file, and firs.gov.ng refuses connections (reset). Ask Will whether the NRS logo would be acceptable instead."
Nigeria Federal Road Safety Corps,Nigeria Federal Road Safety Corps,"The Wikipedia logo is only 365px. The site's own frsc-logo.svg is a rough trace with the eagle's head and wing tips cut off, so I deleted it, and the site's PNG logo is only 256px."
Nigeria Governors' Forum Secretariat,Nigeria Governors' Forum Secretariat,"There is no logo file on Wikipedia or Commons, and the only logo on nggovernorsforum.org is a 279x96 PNG, which is too small."
Nigeria National Broadcasting Commission,Nigeria National Broadcasting Commission,"The Wikipedia article has no logo file, and nbc.gov.ng serves only an 'Under Maintenance' page with no logo."
Nigerian Electricity Regulatory Commission,Nigerian Electricity Regulatory Commission,"There is no NERC Nigeria logo on Wikipedia or Commons (the Commons files named NERC are other bodies), and the largest logo on nerc.gov.ng is 328px."
Nigerian Export - Import bank,Nigerian Export - Import bank,"The Wikipedia infobox has no logo file, and neximbank.com.ng blocks automated requests with a Cloudflare 403, even with a browser user agent."
North Oil Company (NOC),North Oil Company (NOC),"The Wikipedia logo is only 223px, and noc.qa's header logo is only 236x157; the site's SVG logo reference is commented out and returns 404."
Octal,Octal,"There is no Octal page or logo on Wikipedia or Commons, and octal.com now redirects to alpekpolyester.com, which shows only the Alpek Polyester logo. If Will wants the parent mark instead, the Alpek Polyester SVG is at https://www.alpekpolyester.com/wp-content/uploads/2023/04/alpek-polyester.svg."
Oikocredit International,Oikocredit International,"The only Commons logo is an older lockup with a German tagline ('in Menschen investieren'), which is not the current international mark, and oikocredit.org blocks automated requests with a 403, even with a browser user agent."
Olympic Delivery Authority (ODA),Olympic Delivery Authority (ODA),"The only Wikipedia logo file is 133x148 px, too small to use. The body closed in 2014 and its own website is gone; the gov.uk page shows only the generic crest and the archived site could not be reached."
Oman Airports,Oman Airports,"Wikipedia's Oman Airports page has no logo. The official site only has small copies of the bilingual logo (230x67 and 300x90, and a 372px-wide copy in a PDF), and the helper rejected them all as too small."
Oman be'ah,Oman Environmental Services Holding Company; Oman Environmental Services Holding Company (be'ah),"beah.om's colour logo is only 223x183 px, and its large logo files (4500px footer logo, 566px logo) are white-only. There is no Wikipedia article or Commons file."
Oman Information Technology Authority,Oman Information Technology Authority,"ita.gov.om no longer resolves (its certificate is invalid and the proxy could not connect). Wikipedia and Commons have no ITA logo, so the last ITA logo could not be sourced."
Oman LNG,Oman LNG,The Wikipedia logo is 290x289 px and the site header logo is 296x224 px; both are below 400px. No SVG or larger file was found on omanlng.co.om.
Oman National Security Service Group (NSSG),Oman National Security Service Group (NSSG),"There is no Wikipedia or Commons logo, and no official Oman NSSG website could be found (nssg.om does not resolve). nssg.global is a different, Italian-run business. If the note 'Oman security body' means a government service rather than this company, the identity is also unclear."
Oman Public Authority for Electricity and Water,Oman Public Authority for Electricity and Water,"paew.gov.om is unreachable through the proxy, and WebFetch found no images on it. Wikipedia and Commons have no logo, so the last PAEW logo could not be sourced."
Oman Public Authority for Social Insurance,Oman Public Authority for Social Insurance,pasi.gov.om and spf.gov.om cannot be reached (connection refused or timed out). Wikipedia and Commons have no PASI logo.
Oman Telecommunications Regulatory Authority,Oman Telecommunications Regulatory Authority,"The site's colour logos are too small (tra-logo.png 286x87, tra.png 126x160), and the 400px version is white-only. No Wikipedia article or Commons file exists."
